一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
享受 神鬼接受人間的祭祀，安享、接受，精神或物質上所得到的滿足，安樂、舒適，，享受
享有 取得、保有，，享有
京劇 流行於北平的劇種，參見「國劇」條，，京劇
亮 明朗、光亮，聲音響亮清澈，忠貞正直，顯露、展示，參見「亮陰」條，，亮
人 具有高度智慧和靈性，且能製造並使用工具以進行勞動的高等動物，別人、他人，每人，某種類型、身分的人，人的品格和性情，姓，如明代有人杰，二一四部首之一，，人
人事 人的作為，世間的事，世路人情，禮物，房事，法律上指關於人的身分、能力等事項，如民法中有人事訴訟程序，人員升調、獎懲、任免等事，機關中多設有人事處、人事科之類，，人事
人人 每個人，大家,各人，對親近的人的暱稱，，人人
人們 眾人，所有的人，，人們
人力 人為的力量，人的勞動力，從事經濟活動的人口，包括就業人口與失業人口，，人力
人口 人，家族或家中的人數，人的嘴巴，指言語議論，如「膾炙人口」，一定時間內一地區具有戶籍身分的全部居民，，人口
人員 擔任某種職務的人，職員，，人員
人士 社會上一般人的統稱，，人士
人家 住宅、民家，門第、家世，家庭，家產，女子未出嫁前的夫家，妻室，對人的尊稱，稱呼他人，對他人稱呼自己，附在人稱名詞之後，表示身分，，人家
人工 用人力做的，相對於自然力而言，人為　3.報酬,工錢,工資,薪金，工作時一人為一工，人工即人數，人的工夫、力量或工資，，人工
人心 人的心地，人的意志、感情，民氣,民心，善良的心意，報恩的心意，亦暗指財物，，人心
人情 人的感情表現，人的常情、世情，情誼、情面，情面，餽贈禮物，婚喪慶弔等禮節應酬，，人情
人情味 人與人之間溫暖的感情、興味，，人情味
人手 他人的手，辦事的人，，人手
人才 有才能學識的人，」也作「人材」，人的品貌、才學，，人才
人數 人員的數量，，人數
人格 人的品格，品德,品行,人品，心理學上指個體在生活歷程中對人、己、事、物、環境，所顯現的獨特個性，一般用  法比「性格」廣義，法律上指得為權利、義務之主體的資格，，人格
人權 人生來就有的權利，人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教　信仰、財產等一切人身權及民主權利，，人權
人次 人列，若干次人數的總和，，人次
人民 泛指百姓，百姓,國民,公民，居住在一國家內具有應享權利與應盡義務的人，，人民
人物 人和物，人，人的儀表、氣度，有品格、才幹的傑出人才，，人物
人生 人的一生，人活在世上，，人生
人禍 人為的災禍，，人禍
人群 群眾，人類的通稱，，人群
人行道 專供行人通行的騎樓、走廊、地面道路、人行天橋及人行地下道，，人行道
人造 人工製造而成的，，人造
人道 做人的道理，人倫，指社會的倫理關係，男女性交，尊重人類權利，愛護人的生命，關心人性的道德理念，人性，佛教用語，六道之一，指人類，，人道
人選 為某一特定目的挑選出來的人，，人選
人間 世間、塵世，凡間,塵寰,塵間,塵世,世間,人世,陽間,陽世，，人間
人際 人與人之間的關係，，人際
人類 人的總稱，，人類
人體 泛指人的全身，，人體
什麼 疑問代名詞，專指事物，指示代名詞，泛指一般事物，」也作「甚麼」，疑問形容詞，」也作「甚麼」，表不定或虛指的形容詞，」也作「甚麼」 ，，什麼
仁愛 仁厚慈愛，和善，，仁愛
仇 讎敵，深切的怨恨，怨恨，配偶，同類、同輩，姓，如漢代有仇景，，仇
仇恨 因敵對而產生的憎恨，憤恨,憎恨，，仇恨
今天 說話時的這一天，本日,即日,這日,此日，現在、目前，，今天
今年 說話時的這一年，本年，，今年
今後 從今以後，以後，，今後
介入 參與其間，並加干預，參與，，介入
介紹 介，古代傳遞賓主之言的人，紹，紹繼、接續，介紹指相繼傳話，居間接洽，牽合雙方，為人引進或帶入新的事物，」也作「紹介」，先容，，介紹
仍 因循、沿襲，屢次、頻頻，依然、還，於是、因此，，仍
仍然 依然、還是，仍舊，，仍然
仔細 周密、不輕率，周密，注意、小心，」也作「子細」，儉省，，仔細
仕女 官宦人家的女子，以古代貴族婦女或美女為題材的國畫，也作「士女」，，仕女
他 第三人稱，指你我以外的第三人，另外的、別的，其它方面的，別的方面或其餘的事，用於句中當襯字，無所指，有時綴以「這」、「那」，亦可綴「這個」，(一)之又音，，他
他們 第三人稱的多數，指自己和對方以外的若干人，，他們
他鄉 異鄉，異地,異鄉，，他鄉
付 授予、交給，支出錢財，量詞，計算成組成套物品的單位，，付
付出 支出、交出，花費,支付，，付出
付款 付給或支出款項，，付款
仙丹 神仙所煉的靈藥，據說吃了可以長生不老，變成神仙，比喻非常有效的藥，，仙丹
代 歷史的階段、分期，泛指時間，量詞，計算輩分的單位，繼任的人，(2) 五胡十六國鮮卑拓跋氏所建，約在今大陸地區山西、內蒙古一帶，後為前秦所滅，姓，如宋代有代淵，替代、替換，交替、輪流，接替、繼承，輪流更換，，代
代價 物品或勞務的價值，並不專指金錢，，代價
代替 交替、取代，取代，，代替
代溝 生長在不同世代的人，由於生長環境及生活經驗不同，而在思想、態度，及行為習慣等各方面發生歧見或衝突，稱為「代溝」，，代溝
代理 代他人處理事務，代辦　2.署理，暫代他人職務，，代理
代表 由機關、團體選舉出來或受委託及指派以代替眾人、團體辦事或表達意見的人，代替人，某一地、事、物的象徵物，，代表
代課 學校中教師因故請假或臨時離職，由他人代替授課，稱為「代課」，，代課
令 命令、法令，時節，詞、曲中小令的簡稱，姓，如漢代有令勉，發布命令，使、讓，好的、善的，敬辭，用以尊稱他人的親屬或有關係的人，今人都只限用於尊稱對方之親屬或有關係的人，，令
以 用，仰賴、憑藉，認為，可、能夠，令、使，因為、由於，按、依，在、於，加在前、後、左、右、上、下、往、來、東、西、南、北等字之前，表時空和方位的界限，連及，而、且，因此，目的在於，與、和，置動詞後，無義，太、甚，既、已經，愈益、更加，緣故、理由，以色列的簡稱，姓，如漢代有以彤，，以
以上 次序、程度、數目、位置等在某一點之上，總括上文，，以上
以下 次序、位置、數目等在某一界限之下，人的容貌、才華、地位等較為低劣，，以下
以來 從過去的某時間直到現在，」也作「已來」，以後，多、餘，，以來
以便 行文時承接上句的開頭用語，表示才能使下文所指的目的實現、完成，，以便
以免 免得、省得，免得,省得，，以免
以內 表示包括在某一範圍內而不超出，，以內
以前 之前，從前，曩昔,過去,疇昔,從前，，以前
以及 和、與，用來連接並列的詞或詞組的連詞，，以及
以外 在某一界限、範圍之外，之外,除外，，以外
以往 將來、以後，過去、以前，，以往
以後 之後、此後，今後,此後,從此，，以後
以為 認為，用為、用作，當作，，以為
仰 抬頭，朝上、向上，敬慕，舊時公文用語，依賴，姓，如宋代有仰忻，，仰
仰慕 敬仰思慕，景仰,敬慕,欽慕,羨慕,嚮往,愛慕，，仰慕
件 物品、器具，量詞，計算個體事物的單位，，件
任 職責、職務，職位，量詞，計算擔任某種職務或具有某種身分期間的單位，委派，聽憑，擔當、承受，相信，懷孕，無論，奸佞，姓，如漢代有任尚，，任
任何 無論什麼，，任何
任務 擔任的職務或使命，職責,使命，，任務
任性 放縱性情恣意而為，」也作「任情」，任意，順任性情之自然，不矯揉造作，，任性
任意 隨意而為，不受拘束，任性,恣意,肆意,隨便,隨意，，任意
任期 擔任職務的法定期限，，任期
份 整體中的一個單位，量詞，計算定量事物的單位，文質兼備，，份
仿冒 將一種產品作完全相同的仿製，以假亂真，用以圖利，，仿冒
仿造 模仿製造，」也作「仿製」，仿製，，仿造
企圖 計劃、圖謀，盤算,打算,貪圖,計劃,希圖,希望,蓄意,陰謀,妄圖，，企圖
企業 從事生產、運輸、貿易等經濟活動的營利事業，如工廠、礦山、鐵路、貿易公司等均屬之，依出資來源不同，可分為公營企業及私人企業，，企業
伊斯蘭教 西元七世紀初阿拉伯人穆罕默德所創立的宗教，為英語 Islam的音譯，參見「回教」條，，伊斯蘭教
休假 放假休息，放假，，休假
休息 歇息，」也作「庥息」，停息,停歇,憩息,休憩,止息，休養生息，停息,停歇,憩息,休憩,止息，安息，，休息
休閒 優游閒暇，在可種植作物期間，不種植作物，使土地蓄存水分及養分，有利於後作，稱為「休閒」，，休閒
伙伴 同伴，參見「火伴」條，朋友,同伴,同夥,夥伴，，伙伴
伯伯 稱謂，對伯父的口語稱呼，，伯伯
伯母 」也稱為「伯娘」，(2) 用以稱同學或朋友的媽媽，，伯母
伯父 古時天子對同姓諸侯的稱呼，」(2) 用以稱年紀較長於父親的人，(3) 用以稱同學或朋友的爸爸，，伯父
估價 估算物品的價格，，估價
估計 估量價值或數量，預計　2.估摸,揣度,揣測，推測，，估計
伸 使肢體或彈性物體由彎、短的狀態變直或變長，表白、陳述，，伸
伸張 伸展擴張，蔓延,擴張,伸展，，伸張
伸手 伸出手臂，插手、參與，，伸手
伺候 偵候，侍候、服侍，服侍,奉侍,侍奉，，伺候
似乎 好像，彷彿,好像，，似乎
似的 用作後附的比較副詞，與一般、一樣同義，，似的
